"유형별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"유형별(1)",전체 (%),지역별 (%),지역별 (%),성별 (%),성별 (%),연령별 (%),연령별 (%),연령별 (%),연령별 (%),연령별 (%),교육수준 (%),교육수준 (%),교육수준 (%),교육수준 (%),교육수준 (%)
"유형별(1)",소계,동부,읍·면부,남자,여자,65~69세,70~74세,75~79세,80~84세,85세 이상,무학,초등학교,중학교,고등학교,전문대학 이상
"응답자수 (명)",8721,6641,2081,3860,4862,3122,2084,1957,1125,433,781,2630,2051,2692,568
"문자받기",80.6,83.6,71.3,85.2,77.0,96.2,87.4,71.8,56.1,39.9,46.7,66.7,87.2,95.6,97.2
"문자보내기",69.7,73.2,58.4,75.7,64.9,92.4,77.0,55.6,37.1,19.9,25.5,49.0,77.8,91.6,93.7
"정보검색",48.2,53.2,32.2,56.1,41.9,77.5,50.0,29.0,13.2,5.6,4.8,24.4,51.9,73.7,83.8
"사진동영상촬영",50.6,53.8,40.0,56.8,45.6,74.6,52.3,36.6,21.4,7.6,12.7,31.7,52.7,72.0,81.0
"음악듣기",26.2,28.8,18.0,30.4,22.8,43.0,26.8,14.4,7.6,3.9,2.2,11.5,25.3,41.2,59.4
"게임",16.1,17.3,12.4,19.7,13.3,28.1,15.1,8.4,3.6,1.7,2.1,6.5,14.2,26.6,36.7
"동영상보기",34.5,37.8,23.7,40.8,29.4,56.4,36.3,18.2,9.8,5.1,4.0,13.6,34.4,56.1,70.5
"SNS이용",23.7,26.3,15.7,28.6,19.9,40.8,24.1,10.9,6.1,3.1,1.7,8.5,22.1,38.4,60.9
"온라인쇼핑",7.9,9.2,3.8,10.4,6.0,16.4,5.8,2.4,1.1,0.2,0.0,1.8,5.4,12.5,34.6
"금융거래",12.6,14.1,8.0,16.7,9.4,25.2,9.7,4.3,2.0,0.7,0.1,2.5,7.7,23.3,43.4
"애플리케이션 검색, 수정",9.9,11.1,6.1,14.0,6.7,19.6,9.1,2.6,1.0,0.5,0.2,2.2,6.7,16.2,41.1
